Variance of Wavelet Transformed image,Skewness of Wavelet Transformed image,Kurtosis of Wavelet Transformed image,Entropy of image,Label
-3.5681,-8.213,10.083,0.96765,1.0
-1.7781,0.8546,7.1303,0.027572,0.0
-0.36025,-4.449,2.1067,0.94308,1.0
0.59823,3.5012,-3.9795,-1.7841,1.0
-4.1409,3.4619,-0.47841,-3.8879,1.0
-3.5916,-6.2285,10.2389,-1.1543,1.0
0.3798,0.7098,0.7572,-0.4444,0.0
4.4072,-0.070365,2.0416,1.1319,0.0
-1.5078,-7.3191,7.8981,1.2289,1.0
-0.278,8.1881,-3.1338,-2.5276,0.0
-4.2859,8.5234,3.1392,-0.91639,0.0
2.0421,1.2436,4.2171,0.90429,0.0
-2.5665,-6.8824,7.5416,0.70774,1.0
5.438,9.4669,-4.9417,-3.9202,0.0
-2.564,-1.7051,1.5026,0.32757,1.0
0.64295,7.1018,0.3493,-0.41337,0.0
-3.5359,0.30417,0.6569,-0.2957,1.0
-0.55355,-7.9233,6.7156,0.74394,1.0
-1.9966,-9.5001,9.682,-0.12889,1.0
1.5799,-4.7076,7.9186,-1.5487,0.0
1.9818,9.2621,-3.521,-1.872,0.0
1.7747,-6.4334,8.15,-0.89828,0.0
-2.7769,-5.6967,5.9179,0.37671,1.0
1.8238,-6.7748,8.3873,-0.54139,0.0
3.5912,3.0129,0.72888,0.56421,0.0
2.5581,2.6218,1.8513,0.40257,0.0
4.3846,-4.8794,3.3662,-0.029324,0.0
-2.0662,0.16967,-1.0054,-0.82975,1.0
-0.28696,3.1784,-3.5767,-3.1896,1.0
-2.5912,-0.10554,1.2798,1.0414,1.0
0.27451,9.2186,-3.2863,-4.8448,0.0
0.96414,5.616,2.2138,-0.12501,0.0
-1.4233,-0.98912,2.3586,0.39481,1.0
0.2346,-4.5152,2.1195,1.4448,1.0
5.0297,-4.9704,3.5025,-0.23751,0.0
4.0215,-2.7004,2.4957,0.36636,0.0
2.805,0.57732,1.3424,1.2133,0.0
4.6054,-4.0765,2.7587,0.31981,0.0
0.51947,-3.2633,3.0895,-0.98492,0.0
3.8846,-3.0336,2.5334,0.20214,0.0
-2.8391,-6.63,10.4849,-0.42113,1.0
-1.9116,-6.1603,5.606,0.48533,1.0
-2.4115,-9.1359,9.3444,-0.65259,1.0
0.25035,9.3262,-3.6873,-6.2543,0.0
1.645,7.8612,-0.87598,-3.5569,0.0
2.4012,1.6223,3.0312,0.71679,0.0
5.0214,8.0764,-3.0515,-1.7155,0.0
1.7875,4.78,-5.1362,-3.2362,1.0
-0.036127,1.525,-1.4089,-0.76121,1.0
-3.3125,0.10139,0.55323,-0.2957,1.0
0.75896,0.29176,-1.6506,0.83834,1.0
0.5706,-0.0248,1.2421,-0.5621,0.0
3.4626,-4.449,3.5427,0.15429,0.0
-1.6637,3.2881,-2.2701,-2.2224,1.0
4.0552,-2.4583,2.2806,1.0323,0.0
4.2756,-2.6528,2.1375,0.94437,0.0
-0.21394,-0.68287,0.096532,1.1965,1.0
1.4806,7.6377,-2.7876,-1.0341,0.0
-0.9607,2.6963,-3.1226,-1.3121,1.0
3.4359,0.66216,2.1041,1.8922,0.0
-3.4917,-12.1736,14.3689,-0.61639,1.0
0.23874,2.0879,-3.3522,-0.66553,1.0
0.80355,2.8473,4.3439,0.6017,0.0
-3.7573,-8.2916,10.3032,0.38059,1.0
-2.4835,-7.4494,6.8964,-0.64484,1.0
-1.4427,3.2922,-1.9702,-3.4392,1.0
4.3365,-3.584,3.6884,0.74912,0.0
0.50813,0.47799,-1.9804,0.57714,1.0
1.164,3.913,-4.5544,-3.8672,1.0
-2.5919,-1.0553,3.8949,0.77757,1.0
-2.2083,-9.1069,8.9991,-0.28406,1.0
5.2756,0.13863,0.12138,1.1435,0.0
-0.36372,3.0439,-3.4816,-2.7836,1.0
0.24261,0.57318,-1.9402,0.44007,1.0
-5.4808,8.1819,0.27818,-5.0323,1.0
4.8368,10.0132,-4.3239,-4.3276,0.0
-0.47465,-4.3496,1.9901,0.7517,1.0
0.6818,4.8504,-5.2133,-6.1043,1.0
